State,Year,Month,Date,Revenue
Arkansas,2023,April,2023-04-01,59943694.0
Arkansas,2023,May,2023-05-01,55694213.0
Arkansas,2023,June,2023-06-01,53755730.0
Arkansas,2023,July,2023-07-01,59058134.0
Arkansas,2023,August,2023-08-01,55308894.0
Arkansas,2023,September,2023-09-01,55810242.0
Arkansas,2023,October,2023-10-01,55020063.0
Arkansas,2023,November,2023-11-01,52945106.0
Arkansas,2023,December,2023-12-01,62022773.0
Arkansas,2023,YTD Total,,686605555.0
Arkansas,2024,January,2024-01-01,50876592.0
Arkansas,2024,February,2024-02-01,58124921.0
Arkansas,2024,March,2024-03-01,68803914.0
Arkansas,2024,April,2024-04-01,59391445.0
Arkansas,2024,May,2024-05-01,61780933.0
Arkansas,2024,June,2024-06-01,57535839.0
Arkansas,2024,July,2024-07-01,57434323.0
Arkansas,2024,August,2024-08-01,59369013.0
Arkansas,2024,September,2024-09-01,57667869.0
Arkansas,2024,YTD Total,,530984848.0
Colorado,2012,January,2012-01-01,58922840.0
Colorado,2012,February,2012-02-01,60536761.0
Colorado,2012,March,2012-03-01,71313503.0
Colorado,2012,April,2012-04-01,62132362.0
Colorado,2012,May,2012-05-01,65301552.0
Colorado,2012,June,2012-06-01,63153570.0
Colorado,2012,July,2012-07-01,69474183.0
Colorado,2012,August,2012-08-01,67329084.0
Colorado,2012,September,2012-09-01,66524764.0
Colorado,2012,October,2012-10-01,59136969.0
Colorado,2012,November,2012-11-01,61361492.0
Colorado,2012,December,2012-12-01,61066930.0
Colorado,2012,YTD Total,,766254008.0
Colorado,2013,January,2013-01-01,59761185.0
Colorado,2013,February,2013-02-01,57481315.0
Colorado,2013,March,2013-03-01,67739333.0
Colorado,2013,April,2013-04-01,61712271.0
Colorado,2013,May,2013-05-01,66138823.0
Colorado,2013,June,2013-06-01,63694684.0
Colorado,2013,July,2013-07-01,67584794.0
Colorado,2013,August,2013-08-01,67654553.0
Colorado,2013,September,2013-09-01,59590000.0
Colorado,2013,October,2013-10-01,59553955.0
Colorado,2013,November,2013-11-01,61548660.0
Colorado,2013,December,2013-12-01,56248340.0
Colorado,2013,YTD Total,,748707912.0
Colorado,2014,January,2014-01-01,62483478.0
Colorado,2014,February,2014-02-01,56831560.0
Colorado,2014,March,2014-03-01,69157138.0
Colorado,2014,April,2014-04-01,63527603.0
Colorado,2014,May,2014-05-01,73194889.0
Colorado,2014,June,2014-06-01,63574852.0
Colorado,2014,July,2014-07-01,72500859.0
Colorado,2014,August,2014-08-01,72301373.0
Colorado,2014,September,2014-09-01,67818419.0
Colorado,2014,October,2014-10-01,69064086.0
Colorado,2014,November,2014-11-01,57103026.0
Colorado,2014,December,2014-12-01,62520954.0
Colorado,2014,YTD Total,,790078238.0
Colorado,2015,January,2015-01-01,62483478.0
Colorado,2015,February,2015-02-01,56831560.0
Colorado,2015,March,2015-03-01,69157138.0
Colorado,2015,April,2015-04-01,63527603.0
Colorado,2015,May,2015-05-01,73194889.0
Colorado,2015,June,2015-06-01,63574852.0
Colorado,2015,July,2015-07-01,72500859.0
Colorado,2015,August,2015-08-01,72301373.0
Colorado,2015,September,2015-09-01,67818419.0
Colorado,2015,October,2015-10-01,69064086.0
Colorado,2015,November,2015-11-01,57103026.0
Colorado,2015,December,2015-12-01,62520954.0
Colorado,2015,YTD Total,,790078238.0
Colorado,2016,January,2016-01-01,65126702.0
Colorado,2016,February,2016-02-01,65863657.0
Colorado,2016,March,2016-03-01,67076289.0
Colorado,2016,April,2016-04-01,67695317.0
Colorado,2016,May,2016-05-01,71417171.0
Colorado,2016,June,2016-06-01,64217333.0
Colorado,2016,July,2016-07-01,76591848.0
Colorado,2016,August,2016-08-01,69205684.0
Colorado,2016,September,2016-09-01,69287817.0
Colorado,2016,October,2016-10-01,68617010.0
Colorado,2016,November,2016-11-01,62923384.0
Colorado,2016,December,2016-12-01,62771315.0
Colorado,2016,YTD Total,,810793527.0
Colorado,2017,January,2017-01-01,60565741.0
Colorado,2017,February,2017-02-01,65620888.0
Colorado,2017,March,2017-03-01,71664634.0
Colorado,2017,April,2017-04-01,67895923.0
Colorado,2017,May,2017-05-01,71127985.0
Colorado,2017,June,2017-06-01,67138163.0
Colorado,2017,July,2017-07-01,77717878.0
Colorado,2017,August,2017-08-01,70058803.0
Colorado,2017,September,2017-09-01,73878162.0
Colorado,2017,October,2017-10-01,67571543.0
Colorado,2017,November,2017-11-01,66619466.0
Colorado,2017,December,2017-12-01,68195733.0
Colorado,2017,YTD Total,,828054920.0
Colorado,2018,January,2018-01-01,64017971.0
Colorado,2018,February,2018-02-01,61479431.0
Colorado,2018,March,2018-03-01,77523514.0
Colorado,2018,April,2018-04-01,69062553.0
Colorado,2018,May,2018-05-01,71442151.0
Colorado,2018,June,2018-06-01,71041459.0
Colorado,2018,July,2018-07-01,77390164.0
Colorado,2018,August,2018-08-01,74548921.0
Colorado,2018,September,2018-09-01,72544723.0
Colorado,2018,October,2018-10-01,67258999.0
Colorado,2018,November,2018-11-01,65065373.0
Colorado,2018,December,2018-12-01,70728654.0
Colorado,2018,YTD Total,,842103912.0
Colorado,2019,January,2019-01-01,63865419.0
Colorado,2019,February,2019-02-01,63216601.0
Colorado,2019,March,2019-03-01,72798632.0
Colorado,2019,April,2019-04-01,67277994.0
Colorado,2019,May,2019-05-01,73442645.0
Colorado,2019,June,2019-06-01,72181301.0
Colorado,2019,July,2019-07-01,75069047.0
Colorado,2019,August,2019-08-01,76051357.0
Colorado,2019,September,2019-09-01,71756394.0
Colorado,2019,October,2019-10-01,64339892.0
Colorado,2019,November,2019-11-01,66658854.0
Colorado,2019,December,2019-12-01,67010240.0
Colorado,2019,YTD Total,,833668376.0
Colorado,2020,January,2020-01-01,68751458.0
Colorado,2020,February,2020-02-01,64390342.0
Colorado,2020,March,2020-03-01,31897219.0
Colorado,2020,April,2020-04-01,
Colorado,2020,May,2020-05-01,2565729.0
Colorado,2020,June,2020-06-01,35255305.0
Colorado,2020,July,2020-07-01,66884337.0
Colorado,2020,August,2020-08-01,70671863.0
Colorado,2020,September,2020-09-01,69114980.0
Colorado,2020,October,2020-10-01,82632935.0
Colorado,2020,November,2020-11-01,72787005.0
Colorado,2020,December,2020-12-01,71124155.0
Colorado,2020,YTD Total,,636075328.0
Colorado,2021,January,2021-01-01,85875149.0
Colorado,2021,February,2021-02-01,72299299.0
Colorado,2021,March,2021-03-01,96048002.0
Colorado,2021,April,2021-04-01,98233315.0
Colorado,2021,May,2021-05-01,95831957.0
Colorado,2021,June,2021-06-01,112922918.0
Colorado,2021,July,2021-07-01,110579791.0
Colorado,2021,August,2021-08-01,103318527.0
Colorado,2021,September,2021-09-01,109576914.0
Colorado,2021,October,2021-10-01,116738657.0
Colorado,2021,November,2021-11-01,117280501.0
Colorado,2021,December,2021-12-01,107540436.0
Colorado,2021,YTD Total,,1226245467.0
Colorado,2022,January,2022-01-01,111355707.0
Colorado,2022,February,2022-02-01,96158147.0
Colorado,2022,March,2022-03-01,117043314.0
Colorado,2022,April,2022-04-01,113348508.0
Colorado,2022,May,2022-05-01,116537846.0
Colorado,2022,June,2022-06-01,91468406.0
Colorado,2022,July,2022-07-01,122298115.0
Colorado,2022,August,2022-08-01,122432745.0
Colorado,2022,September,2022-09-01,144949304.0
Colorado,2022,October,2022-10-01,129734434.0
Colorado,2022,November,2022-11-01,119284550.0
Colorado,2022,December,2022-12-01,127099264.0
Colorado,2022,YTD Total,,1411710339.0
Colorado,2023,January,2023-01-01,118814786.0
Colorado,2023,February,2023-02-01,106613079.0
Colorado,2023,March,2023-03-01,141851727.0
Colorado,2023,April,2023-04-01,125730449.0
Colorado,2023,May,2023-05-01,124108802.0
Colorado,2023,June,2023-06-01,99347312.0
Colorado,2023,July,2023-07-01,123094031.0
Colorado,2023,August,2023-08-01,120075679.0
Colorado,2023,September,2023-09-01,139760788.0
Colorado,2023,October,2023-10-01,133431647.0
Colorado,2023,November,2023-11-01,113923884.0
Colorado,2023,December,2023-12-01,133341463.0
Colorado,2023,YTD Total,,1480093645.0
Colorado,2024,January,2024-01-01,138671789.0
Colorado,2024,February,2024-02-01,111596851.0
Colorado,2024,March,2024-03-01,140980412.0
Colorado,2024,April,2024-04-01,122704133.0
Colorado,2024,May,2024-05-01,144179660.0
Colorado,2024,June,2024-06-01,121381159.0
Colorado,2024,July,2024-07-01,128936176.0
Colorado,2024,August,2024-08-01,133055137.0
Colorado,2024,September,2024-09-01,149302969.0
Colorado,2024,YTD Total,,1190808285.0
Delaware,2012,January,2012-01-01,53841495.0
Delaware,2012,February,2012-02-01,47147843.0
Delaware,2012,March,2012-03-01,46299633.0
Delaware,2012,April,2012-04-01,54453841.0
Delaware,2012,May,2012-05-01,42063804.0
Delaware,2012,June,2012-06-01,38536373.0
Delaware,2012,July,2012-07-01,46203595.0
Delaware,2012,August,2012-08-01,37864030.0
Delaware,2012,September,2012-09-01,46786146.0
Delaware,2012,October,2012-10-01,34620147.0
Delaware,2012,November,2012-11-01,33889369.0
Delaware,2012,December,2012-12-01,42201576.0
Delaware,2012,YTD Total,,523907852.0
Delaware,2013,January,2013-01-01,34280325.0
Delaware,2013,February,2013-02-01,37178663.0
Delaware,2013,March,2013-03-01,45933766.0
Delaware,2013,April,2013-04-01,35620280.0
Delaware,2013,May,2013-05-01,36479376.0
Delaware,2013,June,2013-06-01,40877230.0
Delaware,2013,July,2013-07-01,32440082.0
Delaware,2013,August,2013-08-01,33467024.0
Delaware,2013,September,2013-09-01,41463050.0
Delaware,2013,October,2013-10-01,32488043.0
Delaware,2013,November,2013-11-01,31124424.0
Delaware,2013,December,2013-12-01,35836012.0
Delaware,2013,YTD Total,,437188275.0
Delaware,2014,January,2014-01-01,30280272.0
Delaware,2014,February,2014-02-01,29732324.0
Delaware,2014,March,2014-03-01,42183721.0
Delaware,2014,April,2014-04-01,31779252.0
Delaware,2014,May,2014-05-01,40103126.0
Delaware,2014,June,2014-06-01,30582114.0
Delaware,2014,July,2014-07-01,32912052.0
Delaware,2014,August,2014-08-01,39752683.0
Delaware,2014,September,2014-09-01,32112054.0
Delaware,2014,October,2014-10-01,31846701.0
Delaware,2014,November,2014-11-01,40423518.0
Delaware,2014,December,2014-12-01,28781234.0
Delaware,2014,YTD Total,,410489052.0
Delaware,2015,January,2015-01-01,30280272.0
Delaware,2015,February,2015-02-01,29732324.0
Delaware,2015,March,2015-03-01,42183721.0
Delaware,2015,April,2015-04-01,31779252.0
Delaware,2015,May,2015-05-01,40103126.0
Delaware,2015,June,2015-06-01,30582114.0
Delaware,2015,July,2015-07-01,32912052.0
Delaware,2015,August,2015-08-01,39752683.0
Delaware,2015,September,2015-09-01,32112054.0
Delaware,2015,October,2015-10-01,31846701.0
Delaware,2015,November,2015-11-01,40423518.0
Delaware,2015,December,2015-12-01,28781234.0
Delaware,2015,YTD Total,,410489052.0
Delaware,2016,January,2016-01-01,37718523.0
Delaware,2016,February,2016-02-01,33144385.0
Delaware,2016,March,2016-03-01,31399464.0
Delaware,2016,April,2016-04-01,32584980.0
Delaware,2016,May,2016-05-01,41241714.0
Delaware,2016,June,2016-06-01,30231377.0
Delaware,2016,July,2016-07-01,38559598.0
Delaware,2016,August,2016-08-01,31833473.0
Delaware,2016,September,2016-09-01,32376123.0
Delaware,2016,October,2016-10-01,37377050.0
Delaware,2016,November,2016-11-01,29992501.0
Delaware,2016,December,2016-12-01,26264098.0
Delaware,2016,YTD Total,,402723287.0
Delaware,2017,January,2017-01-01,39051681.0
Delaware,2017,February,2017-02-01,32742492.0
Delaware,2017,March,2017-03-01,33079544.0
Delaware,2017,April,2017-04-01,38900906.0
Delaware,2017,May,2017-05-01,32476778.0
Delaware,2017,June,2017-06-01,29787731.0
Delaware,2017,July,2017-07-01,38709970.0
Delaware,2017,August,2017-08-01,30933824.0
Delaware,2017,September,2017-09-01,33240731.0
Delaware,2017,October,2017-10-01,39724190.0
Delaware,2017,November,2017-11-01,31627065.0
Delaware,2017,December,2017-12-01,36218580.0
Delaware,2017,YTD Total,,416493493.0
Delaware,2018,January,2018-01-01,27410456.0
Delaware,2018,February,2018-02-01,31625998.0
Delaware,2018,March,2018-03-01,33514202.0
Delaware,2018,April,2018-04-01,41285778.0
Delaware,2018,May,2018-05-01,32346357.0
Delaware,2018,June,2018-06-01,38610011.0
Delaware,2018,July,2018-07-01,33407800.0
Delaware,2018,August,2018-08-01,32977459.0
Delaware,2018,September,2018-09-01,42488828.0
Delaware,2018,October,2018-10-01,32162810.0
Delaware,2018,November,2018-11-01,32752517.0
Delaware,2018,December,2018-12-01,40663483.0
Delaware,2018,YTD Total,,419245699.0
Delaware,2019,January,2019-01-01,32252136.0
Delaware,2019,February,2019-02-01,32064970.0
Delaware,2019,March,2019-03-01,46266012.0
Delaware,2019,April,2019-04-01,33997633.0
Delaware,2019,May,2019-05-01,34350187.0
Delaware,2019,June,2019-06-01,40803857.0
Delaware,2019,July,2019-07-01,33359936.0
Delaware,2019,August,2019-08-01,33816938.0
Delaware,2019,September,2019-09-01,42866217.0
Delaware,2019,October,2019-10-01,34081020.0
Delaware,2019,November,2019-11-01,33196374.0
Delaware,2019,December,2019-12-01,40390909.0
Delaware,2019,YTD Total,,437446189.0
Delaware,2020,January,2020-01-01,35022416.0
Delaware,2020,February,2020-02-01,33999330.0
Delaware,2020,March,2020-03-01,26678557.0
Delaware,2020,April,2020-04-01,856182.0
Delaware,2020,May,2020-05-01,1134900.0
Delaware,2020,June,2020-06-01,37665171.0
Delaware,2020,July,2020-07-01,26429548.0
Delaware,2020,August,2020-08-01,36494138.0
Delaware,2020,September,2020-09-01,32059332.0
Delaware,2020,October,2020-10-01,30226935.0
Delaware,2020,November,2020-11-01,33115753.0
Delaware,2020,December,2020-12-01,27790291.0
Delaware,2020,YTD Total,,321472554.0
Delaware,2021,January,2021-01-01,42437013.0
Delaware,2021,February,2021-02-01,30411876.0
Delaware,2021,March,2021-03-01,38480274.0
Delaware,2021,April,2021-04-01,37392035.0
Delaware,2021,May,2021-05-01,46971228.0
Delaware,2021,June,2021-06-01,38475224.0
Delaware,2021,July,2021-07-01,34351604.0
Delaware,2021,August,2021-08-01,47792447.0
Delaware,2021,September,2021-09-01,37585507.0
Delaware,2021,October,2021-10-01,45801597.0
Delaware,2021,November,2021-11-01,37871586.0
Delaware,2021,December,2021-12-01,33887334.0
Delaware,2021,YTD Total,,471457727.0
Delaware,2022,January,2022-01-01,40103871.0
Delaware,2022,February,2022-02-01,39419138.0
Delaware,2022,March,2022-03-01,40438725.0
Delaware,2022,April,2022-04-01,39760631.0
Delaware,2022,May,2022-05-01,48901865.0
Delaware,2022,June,2022-06-01,41124510.0
Delaware,2022,July,2022-07-01,41638180.0
Delaware,2022,August,2022-08-01,37902823.0
Delaware,2022,September,2022-09-01,39651482.0
Delaware,2022,October,2022-10-01,47421780.0
Delaware,2022,November,2022-11-01,36969947.0
Delaware,2022,December,2022-12-01,45189141.0
Delaware,2022,YTD Total,,498522093.0
Delaware,2023,January,2023-01-01,49244643.0
Delaware,2023,February,2023-02-01,38722119.0
Delaware,2023,March,2023-03-01,41607831.0
Delaware,2023,April,2023-04-01,47579665.0
Delaware,2023,May,2023-05-01,38576722.0
Delaware,2023,June,2023-06-01,52447002.0
Delaware,2023,July,2023-07-01,39574150.0
Delaware,2023,August,2023-08-01,37803257.0
Delaware,2023,September,2023-09-01,36574333.0
Delaware,2023,October,2023-10-01,46844990.0
Delaware,2023,November,2023-11-01,36061076.0
Delaware,2023,December,2023-12-01,46917239.0
Delaware,2023,YTD Total,,511953026.0
Delaware,2024,January,2024-01-01,37548326.0
Delaware,2024,February,2024-02-01,42011736.0
Delaware,2024,March,2024-03-01,53600994.0
Delaware,2024,April,2024-04-01,42674614.0
Delaware,2024,May,2024-05-01,42731936.0
Delaware,2024,June,2024-06-01,50413599.0
Delaware,2024,July,2024-07-01,42713699.0
Delaware,2024,August,2024-08-01,40780218.0
Delaware,2024,September,2024-09-01,54963590.0
Delaware,2024,YTD Total,,407438712.0
Florida,2012,January,2012-01-01,35995278.0
Florida,2012,February,2012-02-01,41456099.0
Florida,2012,March,2012-03-01,45039099.0
Florida,2012,April,2012-04-01,36699356.0
Florida,2012,May,2012-05-01,35425734.0
Florida,2012,June,2012-06-01,34096905.0
Florida,2012,July,2012-07-01,32089162.0
Florida,2012,August,2012-08-01,32343619.0
Florida,2012,September,2012-09-01,31515267.0
Florida,2012,October,2012-10-01,31611302.0
Florida,2012,November,2012-11-01,34725619.0
Florida,2012,December,2012-12-01,36881395.0
Florida,2012,YTD Total,,427878835.0
Florida,2013,January,2013-01-01,38243983.0
Florida,2013,February,2013-02-01,39139620.0
Florida,2013,March,2013-03-01,44727394.0
Florida,2013,April,2013-04-01,38931854.0
Florida,2013,May,2013-05-01,39360634.0
Florida,2013,June,2013-06-01,36236503.0
Florida,2013,July,2013-07-01,36211997.0
Florida,2013,August,2013-08-01,39342852.0
Florida,2013,September,2013-09-01,36611520.0
Florida,2013,October,2013-10-01,38464564.0
Florida,2013,November,2013-11-01,39246041.0
Florida,2013,December,2013-12-01,41074499.0
Florida,2013,YTD Total,,467591461.0
Florida,2014,January,2014-01-01,48246861.0
Florida,2014,February,2014-02-01,48497402.0
Florida,2014,March,2014-03-01,51134130.0
Florida,2014,April,2014-04-01,46076830.0
Florida,2014,May,2014-05-01,46505713.0
Florida,2014,June,2014-06-01,40001461.0
Florida,2014,July,2014-07-01,42068067.0
Florida,2014,August,2014-08-01,41292228.0
Florida,2014,September,2014-09-01,39887598.0
Florida,2014,October,2014-10-01,42297256.0
Florida,2014,November,2014-11-01,40605469.0
Florida,2014,December,2014-12-01,44045958.0
Florida,2014,YTD Total,,530658973.0
Florida,2015,January,2015-01-01,48246861.0
Florida,2015,February,2015-02-01,48497402.0
Florida,2015,March,2015-03-01,51134130.0
Florida,2015,April,2015-04-01,46076830.0
Florida,2015,May,2015-05-01,46505713.0
Florida,2015,June,2015-06-01,40001461.0
Florida,2015,July,2015-07-01,42068067.0
Florida,2015,August,2015-08-01,41292228.0
Florida,2015,September,2015-09-01,39887598.0
Florida,2015,October,2015-10-01,42297256.0
Florida,2015,November,2015-11-01,40605469.0
Florida,2015,December,2015-12-01,44045958.0
Florida,2015,YTD Total,,530658973.0
Florida,2016,January,2016-01-01,47062062.0
Florida,2016,February,2016-02-01,50152763.0
Florida,2016,March,2016-03-01,51950168.0
Florida,2016,April,2016-04-01,49062726.0
Florida,2016,May,2016-05-01,46658397.0
Florida,2016,June,2016-06-01,41994483.0
Florida,2016,July,2016-07-01,45298095.0
Florida,2016,August,2016-08-01,40906713.0
Florida,2016,September,2016-09-01,42651829.0
Florida,2016,October,2016-10-01,41784621.0
Florida,2016,November,2016-11-01,42441381.0
Florida,2016,December,2016-12-01,45991573.0
Florida,2016,YTD Total,,545954811.0
Florida,2017,January,2017-01-01,47289120.0
Florida,2017,February,2017-02-01,48432092.0
Florida,2017,March,2017-03-01,54726210.0
Florida,2017,April,2017-04-01,49071338.0
Florida,2017,May,2017-05-01,46850604.0
Florida,2017,June,2017-06-01,43811626.0
Florida,2017,July,2017-07-01,45284468.0
Florida,2017,August,2017-08-01,41984390.0
Florida,2017,September,2017-09-01,35350797.0
Florida,2017,October,2017-10-01,42974551.0
Florida,2017,November,2017-11-01,43304084.0
Florida,2017,December,2017-12-01,47510366.0
Florida,2017,YTD Total,,546589646.0
Florida,2018,January,2018-01-01,47400310.0
Florida,2018,February,2018-02-01,47436960.0
Florida,2018,March,2018-03-01,54948321.0
Florida,2018,April,2018-04-01,49462199.0
Florida,2018,May,2018-05-01,48823700.0
Florida,2018,June,2018-06-01,46594920.0
Florida,2018,July,2018-07-01,45472770.0
Florida,2018,August,2018-08-01,45950429.0
Florida,2018,September,2018-09-01,44861187.0
Florida,2018,October,2018-10-01,44343852.0
Florida,2018,November,2018-11-01,45246755.0
Florida,2018,December,2018-12-01,48474281.0
Florida,2018,YTD Total,,569015684.0
Florida,2019,January,2019-01-01,49241067.0
Florida,2019,February,2019-02-01,48800062.0
Florida,2019,March,2019-03-01,57802041.0
Florida,2019,April,2019-04-01,48386231.0
Florida,2019,May,2019-05-01,49521879.0
Florida,2019,June,2019-06-01,46455265.0
Florida,2019,July,2019-07-01,45242612.0
Florida,2019,August,2019-08-01,46225048.0
Florida,2019,September,2019-09-01,44179637.0
Florida,2019,October,2019-10-01,44662364.0
Florida,2019,November,2019-11-01,46965691.0
Florida,2019,December,2019-12-01,47251353.0
Florida,2019,YTD Total,,574733250.0
Florida,2020,January,2020-01-01,49933746.0
Florida,2020,February,2020-02-01,52064778.0
Florida,2020,March,2020-03-01,24826809.0
Florida,2020,April,2020-04-01,72527.0
Florida,2020,May,2020-05-01,
Florida,2020,June,2020-06-01,25200757.0
Florida,2020,July,2020-07-01,15848179.0
Florida,2020,August,2020-08-01,17303685.0
Florida,2020,September,2020-09-01,38373415.0
Florida,2020,October,2020-10-01,39846151.0
Florida,2020,November,2020-11-01,37847017.0
Florida,2020,December,2020-12-01,40002795.0
Florida,2020,YTD Total,,341319859.0
Florida,2021,January,2021-01-01,45678986.0
Florida,2021,February,2021-02-01,43331830.0
Florida,2021,March,2021-03-01,54552842.0
Florida,2021,April,2021-04-01,60212732.0
Florida,2021,May,2021-05-01,62259574.0
Florida,2021,June,2021-06-01,55485997.0
Florida,2021,July,2021-07-01,59159332.0
Florida,2021,August,2021-08-01,52642492.0
Florida,2021,September,2021-09-01,51665621.0
Florida,2021,October,2021-10-01,54940587.0
Florida,2021,November,2021-11-01,52573468.0
Florida,2021,December,2021-12-01,56968595.0
Florida,2021,YTD Total,,649472056.0
Florida,2022,January,2022-01-01,57602407.0
Florida,2022,February,2022-02-01,58477394.0
Florida,2022,March,2022-03-01,65965987.0
Florida,2022,April,2022-04-01,62943302.0
Florida,2022,May,2022-05-01,60247643.0
Florida,2022,June,2022-06-01,54959278.0
Florida,2022,July,2022-07-01,57985120.0
Florida,2022,August,2022-08-01,55013162.0
Florida,2022,September,2022-09-01,54288872.0
Florida,2022,October,2022-10-01,55867327.0
Florida,2022,November,2022-11-01,53970712.0
Florida,2022,December,2022-12-01,56646126.0
Florida,2022,YTD Total,,693967330.0
Florida,2023,January,2023-01-01,58761467.0
Florida,2023,February,2023-02-01,58674974.0
Florida,2023,March,2023-03-01,64706443.0
Florida,2023,April,2023-04-01,61248955.0
Florida,2023,May,2023-05-01,58220234.0
Florida,2023,June,2023-06-01,56014750.0
Florida,2023,July,2023-07-01,57327254.0
Florida,2023,August,2023-08-01,54110743.0
Florida,2023,September,2023-09-01,55800732.0
Florida,2023,October,2023-10-01,53133288.0
Florida,2023,November,2023-11-01,54622009.0
Florida,2023,December,2023-12-01,58266341.0
Florida,2023,YTD Total,,690887190.0
Florida,2024,January,2024-01-01,58838901.0
Florida,2024,February,2024-02-01,58542630.0
Florida,2024,March,2024-03-01,66944514.0
Florida,2024,April,2024-04-01,59689911.0
Florida,2024,May,2024-05-01,59647294.0
Florida,2024,June,2024-06-01,55179992.0
Florida,2024,July,2024-07-01,53970349.0
Florida,2024,August,2024-08-01,54899299.0
Florida,2024,September,2024-09-01,51705132.0
Florida,2024,YTD Total,,519418022.0
Illinois,2012,January,2012-01-01,126919679.0
Illinois,2012,February,2012-02-01,144928750.0
Illinois,2012,March,2012-03-01,147019192.0
Illinois,2012,April,2012-04-01,142185315.0
Illinois,2012,May,2012-05-01,137811337.0
Illinois,2012,June,2012-06-01,145421382.0
Illinois,2012,July,2012-07-01,142541741.0
Illinois,2012,August,2012-08-01,129682628.0
Illinois,2012,September,2012-09-01,137796035.0
Illinois,2012,October,2012-10-01,130013880.0
Illinois,2012,November,2012-11-01,128078382.0
Illinois,2012,December,2012-12-01,137259462.0
Illinois,2012,YTD Total,,1649657783.0
Illinois,2013,January,2013-01-01,132158763.0
Illinois,2013,February,2013-02-01,137969703.0
Illinois,2013,March,2013-03-01,167972144.0
Illinois,2013,April,2013-04-01,156875299.0
Illinois,2013,May,2013-05-01,160963801.0
Illinois,2013,June,2013-06-01,154527702.0
Illinois,2013,July,2013-07-01,157544092.0
Illinois,2013,August,2013-08-01,164440059.0
Illinois,2013,September,2013-09-01,155284356.0
Illinois,2013,October,2013-10-01,156840578.0
Illinois,2013,November,2013-11-01,156919590.0
Illinois,2013,December,2013-12-01,152399967.0
Illinois,2013,YTD Total,,1853896054.0
Illinois,2014,January,2014-01-01,180925108.0
Illinois,2014,February,2014-02-01,178207733.0
Illinois,2014,March,2014-03-01,207511078.0
Illinois,2014,April,2014-04-01,203014090.0
Illinois,2014,May,2014-05-01,208222107.0
Illinois,2014,June,2014-06-01,190948718.0
Illinois,2014,July,2014-07-01,203325121.0
Illinois,2014,August,2014-08-01,194459908.0
Illinois,2014,September,2014-09-01,187297456.0
Illinois,2014,October,2014-10-01,205478196.0
Illinois,2014,November,2014-11-01,189489515.0
Illinois,2014,December,2014-12-01,203549633.0
Illinois,2014,YTD Total,,2352428663.0
Illinois,2015,January,2015-01-01,180925108.0
Illinois,2015,February,2015-02-01,178207733.0
Illinois,2015,March,2015-03-01,207511078.0
Illinois,2015,April,2015-04-01,203014090.0
