State,Year,Population
Hawaii,2012,1394804
Hawaii,2013,1408243
Hawaii,2014,1414538
Hawaii,2015,1422052
Hawaii,2016,1427559
Hawaii,2017,1424393
Hawaii,2018,1420593
Hawaii,2019,1415872
Hawaii,2020,1451181
Hawaii,2021,1446745
Hawaii,2022,1439399
Hawaii,2023,1435138
Idaho,2010,1570746
Idaho,2011,1583910
Idaho,2012,1595324
Idaho,2013,1611206
Idaho,2014,1631112
Idaho,2015,1651059
Idaho,2016,1682380
Idaho,2017,1717715
Idaho,2018,1750536
Idaho,2019,1787065
Idaho,2020,1849339
Idaho,2021,1904537
Idaho,2022,1938996
Idaho,2023,1964726
Illinois,2010,12840503
Illinois,2011,12867454
Illinois,2012,12882510
Illinois,2013,12895129
Illinois,2014,12884493
Illinois,2015,12858913
Illinois,2016,12820527
Illinois,2017,12778828
Illinois,2018,12723071
Illinois,2019,12671821
Illinois,2020,12790357
Illinois,2021,12690341
Illinois,2022,12582515
Illinois,2023,12549689
Indiana,2010,6490432
Indiana,2011,6516528
Indiana,2012,6537703
Indiana,2013,6568713
Indiana,2014,6593644
Indiana,2015,6608422
Indiana,2016,6634304
Indiana,2017,6658078
Indiana,2018,6695497
Indiana,2019,6732219
Indiana,2020,6789098
Indiana,2021,6813798
Indiana,2022,6832274
Indiana,2023,6862199
Iowa,2010,3050745
Iowa,2011,3066336
Iowa,2012,3076190
Iowa,2013,3092997
Iowa,2014,3109350
Iowa,2015,3120960
Iowa,2016,3131371
Iowa,2017,3141550
Iowa,2018,3148618
Iowa,2019,3155070
Iowa,2020,3190904
Iowa,2021,3197944
Iowa,2022,3199693
Iowa,2023,3207004
Kansas,2010,2858190
Kansas,2011,2869225
Kansas,2012,2885257
Kansas,2013,2893212
Kansas,2014,2900475
Kansas,2015,2909011
Kansas,2016,2910844
Kansas,2017,2908718
Kansas,2018,2911359
Kansas,2019,2913314
Kansas,2020,2938124
Kansas,2021,2937946
Kansas,2022,2936716
Kansas,2023,2940546
Kentucky,2010,4348181
Kentucky,2011,4369821
Kentucky,2012,4386346
Kentucky,2013,4404659
Kentucky,2014,4414349
Kentucky,2015,4425976
Kentucky,2016,4438182
Kentucky,2017,4452268
Kentucky,2018,4461153
Kentucky,2019,4467673
Kentucky,2020,4508155
Kentucky,2021,4507600
Kentucky,2022,4511563
Kentucky,2023,4526154
Louisiana,2010,4544532
Louisiana,2011,4575625
Louisiana,2012,4600972
Louisiana,2013,4624527
Louisiana,2014,4644013
Louisiana,2015,4664628
Louisiana,2016,4678135
Louisiana,2017,4670560
Louisiana,2018,4659690
Louisiana,2019,4648794
Louisiana,2020,4652022
Louisiana,2021,4627047
Louisiana,2022,4588023
Louisiana,2023,4573749
Maine,2010,1327629
Maine,2011,1328284
Maine,2012,1327729
Maine,2013,1328009
Maine,2014,1330513
Maine,2015,1328262
Maine,2016,1331317
Maine,2017,1334612
Maine,2018,1339057
Maine,2019,1344212
Maine,2020,1364517
Maine,2021,1378787
Maine,2022,1389338
Maine,2023,1395722
Maryland,2010,5788645
Maryland,2011,5839419
Maryland,2012,5886992
Maryland,2013,5923188
Maryland,2014,5957283
Maryland,2015,5985562
Maryland,2016,6003323
Maryland,2017,6023868
Maryland,2018,6035802
Maryland,2019,6045680
Maryland,2020,6173689
Maryland,2021,6175045
Maryland,2022,6163981
Maryland,2023,6180253
Massachusetts,2010,6566307
Massachusetts,2011,6613583
Massachusetts,2012,6663005
Massachusetts,2013,6713315
Massachusetts,2014,6762596
Massachusetts,2015,6794228
Massachusetts,2016,6823608
Massachusetts,2017,6859789
Massachusetts,2018,6882635
Massachusetts,2019,6892503
Massachusetts,2020,6997713
Massachusetts,2021,6991951
Massachusetts,2022,6982740
Massachusetts,2023,7001399
Michigan,2010,9877510
Michigan,2011,9882412
Michigan,2012,9897145
Michigan,2013,9913065
Michigan,2014,9929848
Michigan,2015,9931715
Michigan,2016,9950571
Michigan,2017,9973114
Michigan,2018,9984072
Michigan,2019,9986857
Michigan,2020,10070627
Michigan,2021,10038117
Michigan,2022,10033281
Michigan,2023,10037261
Minnesota,2010,5310828
Minnesota,2011,5346143
Minnesota,2012,5376643
Minnesota,2013,5413479
Minnesota,2014,5451079
Minnesota,2015,5482032
Minnesota,2016,5522744
Minnesota,2017,5566230
Minnesota,2018,5606249
Minnesota,2019,5639632
Minnesota,2020,5710578
Minnesota,2021,5717968
Minnesota,2022,5714300
Minnesota,2023,5737915
Mississippi,2010,2970548
Mississippi,2011,2978731
Mississippi,2012,2983816
Mississippi,2013,2988711
Mississippi,2014,2990468
Mississippi,2015,2988471
Mississippi,2016,2987938
Mississippi,2017,2988510
Mississippi,2018,2981020
Mississippi,2019,2976149
Mississippi,2020,2958409
Mississippi,2021,2949582
Mississippi,2022,2938928
Mississippi,2023,2939690
Missouri,2010,5995974
Missouri,2011,6010275
Missouri,2012,6024367
Missouri,2013,6040715
Missouri,2014,6056202
Missouri,2015,6071732
Missouri,2016,6087135
Missouri,2017,6106670
Missouri,2018,6121623
Missouri,2019,6137428
Missouri,2020,6154426
Missouri,2021,6170393
Missouri,2022,6177168
Missouri,2023,6196156
Montana,2010,990697
Montana,2011,997316
Montana,2012,1003783
Montana,2013,1013569
Montana,2014,1021869
Montana,2015,1030475
Montana,2016,1040859
Montana,2017,1052482
Montana,2018,1060665
Montana,2019,1068778
Montana,2020,1087211
Montana,2021,1106366
Montana,2022,1122878
Montana,2023,1132812
Nebraska,2010,1829542
Nebraska,2011,1840672
Nebraska,2012,1853303
Nebraska,2013,1865279
Nebraska,2014,1879321
Nebraska,2015,1891277
Nebraska,2016,1905616
Nebraska,2017,1915947
Nebraska,2018,1925614
Nebraska,2019,1934408
Nebraska,2020,1963273
Nebraska,2021,1964253
Nebraska,2022,1968060
Nebraska,2023,1978379
Nevada,2010,2702405
Nevada,2011,2712730
Nevada,2012,2743996
Nevada,2013,2775970
Nevada,2014,2817628
Nevada,2015,2866939
Nevada,2016,2917563
Nevada,2017,2969905
Nevada,2018,3027341
Nevada,2019,3080156
Nevada,2020,3115840
Nevada,2021,3146632
Nevada,2022,3177421
Nevada,2023,3194176
New Hampshire,2010,1316762
New Hampshire,2011,1320202
New Hampshire,2012,1324232
New Hampshire,2013,1326622
New Hampshire,2014,1333341
New Hampshire,2015,1336350
New Hampshire,2016,1342307
New Hampshire,2017,1348787
New Hampshire,2018,1353465
New Hampshire,2019,1359711
New Hampshire,2020,1378702
New Hampshire,2021,1387494
New Hampshire,2022,1399003
New Hampshire,2023,1402054
New Jersey,2010,8799446
New Jersey,2011,8828117
New Jersey,2012,8844942
New Jersey,2013,8856972
New Jersey,2014,8864525
New Jersey,2015,8867949
New Jersey,2016,8870827
New Jersey,2017,8885525
New Jersey,2018,8886025
New Jersey,2019,8882190
New Jersey,2020,9272392
New Jersey,2021,9269175
New Jersey,2022,9260817
New Jersey,2023,9290841
New Mexico,2010,2064552
New Mexico,2011,2080450
New Mexico,2012,2087309
New Mexico,2013,2092273
New Mexico,2014,2089568
New Mexico,2015,2089291
New Mexico,2016,2091630
New Mexico,2017,2091784
New Mexico,2018,2092741
New Mexico,2019,2096829
New Mexico,2020,2118488
New Mexico,2021,2116950
New Mexico,2022,2113476
New Mexico,2023,2114371
New York,2010,19399878
New York,2011,19499241
New York,2012,19572932
New York,2013,19624447
New York,2014,19651049
New York,2015,19654666
New York,2016,19633428
New York,2017,19589572
New York,2018,19530351
New York,2019,19453561
New York,2020,20104710
New York,2021,19854526
New York,2022,19673200
New York,2023,19571216
North Carolina,2010,9574323
North Carolina,2011,9657592
North Carolina,2012,9749476
North Carolina,2013,9843336
North Carolina,2014,9932887
North Carolina,2015,10031646
North Carolina,2016,10154788
North Carolina,2017,10268233
North Carolina,2018,10381615
North Carolina,2019,10488084
North Carolina,2020,10453812
North Carolina,2021,10567100
North Carolina,2022,10695965
North Carolina,2023,10835491
North Dakota,2010,674715
North Dakota,2011,685225
North Dakota,2012,701176
North Dakota,2013,722036
North Dakota,2014,737401
North Dakota,2015,754066
North Dakota,2016,754434
North Dakota,2017,754942
North Dakota,2018,758080
North Dakota,2019,762062
North Dakota,2020,779563
North Dakota,2021,777982
North Dakota,2022,778912
North Dakota,2023,783926
Ohio,2010,11539336
Ohio,2011,11544663
Ohio,2012,11548923
Ohio,2013,11576684
Ohio,2014,11602700
Ohio,2015,11617527
Ohio,2016,11634370
Ohio,2017,11659650
Ohio,2018,11676341
Ohio,2019,11689100
Ohio,2020,11798292
Ohio,2021,11765227
Ohio,2022,11759697
Ohio,2023,11785935
Oklahoma,2010,3759944
Oklahoma,2011,3788379
Oklahoma,2012,3818814
Oklahoma,2013,3853214
Oklahoma,2014,3878187
Oklahoma,2015,3909500
Oklahoma,2016,3926331
Oklahoma,2017,3931316
Oklahoma,2018,3940235
Oklahoma,2019,3956971
Oklahoma,2020,3965234
Oklahoma,2021,3991634
Oklahoma,2022,4019271
Oklahoma,2023,4053824
Oregon,2010,3837491
Oregon,2011,3872036
Oregon,2012,3899001
Oregon,2013,3922468
Oregon,2014,3963244
Oregon,2015,4015792
Oregon,2016,4089976
Oregon,2017,4143625
Oregon,2018,4181886
Oregon,2019,4217737
Oregon,2020,4245044
Oregon,2021,4256465
Oregon,2022,4239379
Oregon,2023,4233358
Pennsylvania,2010,12711160
Pennsylvania,2011,12745815
Pennsylvania,2012,12767118
Pennsylvania,2013,12776309
Pennsylvania,2014,12788313
Pennsylvania,2015,12784826
Pennsylvania,2016,12782275
Pennsylvania,2017,12787641
Pennsylvania,2018,12800922
Pennsylvania,2019,12801989
Pennsylvania,2020,12995477
Pennsylvania,2021,13013614
Pennsylvania,2022,12972091
Pennsylvania,2023,12961683
Rhode Island,2010,1053959
Rhode Island,2011,1053649
Rhode Island,2012,1054621
Rhode Island,2013,1055081
Rhode Island,2014,1055936
Rhode Island,2015,1056065
Rhode Island,2016,1056770
Rhode Island,2017,1055673
Rhode Island,2018,1058287
Rhode Island,2019,1059361
Rhode Island,2020,1096444
Rhode Island,2021,1097092
Rhode Island,2022,1093842
Rhode Island,2023,1095962
South Carolina,2010,4635649
South Carolina,2011,4671994
South Carolina,2012,4717354
South Carolina,2013,4764080
South Carolina,2014,4823617
South Carolina,2015,4891938
South Carolina,2016,4957968
South Carolina,2017,5021268
South Carolina,2018,5084156
South Carolina,2019,5148714
South Carolina,2020,5132151
South Carolina,2021,5193848
South Carolina,2022,5282955
South Carolina,2023,5373555
South Dakota,2010,816166
South Dakota,2011,823579
South Dakota,2012,833566
South Dakota,2013,842316
South Dakota,2014,849129
South Dakota,2015,853988
South Dakota,2016,862996
South Dakota,2017,872868
South Dakota,2018,878698
South Dakota,2019,884659
South Dakota,2020,887852
South Dakota,2021,896299
South Dakota,2022,909869
South Dakota,2023,919318
Tennessee,2010,6355311
Tennessee,2011,6399291
Tennessee,2012,6453898
Tennessee,2013,6494340
Tennessee,2014,6541223
Tennessee,2015,6591170
Tennessee,2016,6646010
Tennessee,2017,6708799
Tennessee,2018,6771631
Tennessee,2019,6829174
Tennessee,2020,6926091
Tennessee,2021,6963709
Tennessee,2022,7048976
Tennessee,2023,7126489
Texas,2010,25241971
Texas,2011,25645629
Texas,2012,26084481
Texas,2013,26480266
Texas,2014,26964333
Texas,2015,27470056
Texas,2016,27914410
Texas,2017,28295273
Texas,2018,28628666
Texas,2019,28995881
Texas,2020,29234361
Texas,2021,29561286
Texas,2022,30029848
Texas,2023,30503301
Utah,2010,2775332
Utah,2011,2814384
Utah,2012,2853375
Utah,2013,2897640
Utah,2014,2936879
Utah,2015,2981835
Utah,2016,3041868
Utah,2017,3101042
Utah,2018,3153550
Utah,2019,3205958
Utah,2020,3283982
Utah,2021,3339284
Utah,2022,3381236
Utah,2023,3417734
Vermont,2010,625879
Vermont,2011,627049
Vermont,2012,626090
Vermont,2013,626210
Vermont,2014,625214
Vermont,2015,625216
Vermont,2016,623657
Vermont,2017,624344
Vermont,2018,624358
Vermont,2019,623989
Vermont,2020,642936
Vermont,2021,647093
Vermont,2022,647110
Vermont,2023,647464
Virginia,2010,8023699
Virginia,2011,8101155
Virginia,2012,8185080
Virginia,2013,8252427
Virginia,2014,8310993
Virginia,2015,8361808
Virginia,2016,8410106
Virginia,2017,8463587
Virginia,2018,8501286
Virginia,2019,8535519
Virginia,2020,8637193
Virginia,2021,8657348
Virginia,2022,8679099
Virginia,2023,8715698
Washington,2010,6742830
Washington,2011,6826627
Washington,2012,6897058
Washington,2013,6963985
Washington,2014,7054655
Washington,2015,7163657
Washington,2016,7294771
Washington,2017,7423362
Washington,2018,7523869
Washington,2019,7614893
Washington,2020,7724566
Washington,2021,7741433
Washington,2022,7784477
Washington,2023,7812880
West Virginia,2010,1854239
West Virginia,2011,1856301
West Virginia,2012,1856872
West Virginia,2013,1853914
West Virginia,2014,1849489
West Virginia,2015,1842050
West Virginia,2016,1831023
West Virginia,2017,1817004
West Virginia,2018,1804291
West Virginia,2019,1792147
West Virginia,2020,1791562
West Virginia,2021,1785249
West Virginia,2022,1774035
West Virginia,2023,1770071
Wisconsin,2010,5690475
Wisconsin,2011,5705288
Wisconsin,2012,5719960
Wisconsin,2013,5736754
Wisconsin,2014,5751525
Wisconsin,2015,5760940
Wisconsin,2016,5772628
Wisconsin,2017,5790186
Wisconsin,2018,5807406
Wisconsin,2019,5822434
Wisconsin,2020,5896700
Wisconsin,2021,5879978
Wisconsin,2022,5890543
Wisconsin,2023,5910955
Wyoming,2010,564487
Wyoming,2011,567299
Wyoming,2012,576305
Wyoming,2013,582122
Wyoming,2014,582531
Wyoming,2015,585613
Wyoming,2016,584215
Wyoming,2017,578931
Wyoming,2018,577601
Wyoming,2019,578759
Wyoming,2020,577664
Wyoming,2021,579548
Wyoming,2022,581629
Wyoming,2023,584057
